,iso3,long,lat,SSP1,SSP3,SSP5
4404,SYR19658.0,35.5,38.5,43.01,-8.21,-5.75
4405,SYR19659.0,35.5,39.5,5.24,-45.91,16.48
4406,SYR19660.0,35.5,40.5,-2.7,-98.3,-51.42
4407,SYR20017.0,34.5,37.5,0.34,-99.42,-76.58
4408,SYR20018.0,34.5,38.5,2.14,-99.88,-96.19
4409,IRQ18942.0,37.5,42.5,3.41,-99.25,-70.91
4410,IRQ18943.0,37.5,43.5,-8.33,-99.28,-78.27
4411,IRQ18944.0,37.5,44.5,-10.31,-99.27,-72.52
4412,IRQ19301.0,36.5,41.5,-7.42,-99.21,-64.38
4413,IRQ19302.0,36.5,42.5,-4.65,-96.78,-60.47
4414,IRQ19303.0,36.5,43.5,4.82,-33.42,-15.63
4415,IRQ19304.0,36.5,44.5,18.1,-43.0,23.46
4416,IRQ19305.0,36.5,45.5,-0.02,-0.09,-0.05
4417,IRQ19661.0,35.5,41.5,0.0,0.0,100.0
4418,IRQ19662.0,35.5,42.5,0.0,0.0,0.0
4419,IRQ19663.0,35.5,43.5,115.07,115.07,56.3
4420,IRQ19664.0,35.5,44.5,10.79,28.2,181560194432320.03
4421,IRQ19665.0,35.5,45.5,-44.98,-73.09,43.28
4422,IRQ19666.0,35.5,46.5,43.98,43.98,21.01
4423,IRQ20020.0,34.5,40.5,-50.0,-50.0,-2.79
4424,IRQ20021.0,34.5,41.5,-0.69,-91.11,-17.64
4425,IRQ20022.0,34.5,42.5,-0.17,-92.1,-65.9
4426,IRQ20023.0,34.5,43.5,0.0,-97.11,-14.44
4427,IRQ20024.0,34.5,44.5,0.0,0.0,0.0
4428,IRQ20025.0,34.5,45.5,33488685968886.1,4.489112190998274e+17,5221132477826441.0
4429,IRQ20382.0,33.5,42.5,37.36,1.0798736826663038e+17,2406008616293744.0
4430,IRQ20383.0,33.5,43.5,0.0,0.0,62.38
4431,IRQ20384.0,33.5,44.5,4.7498899729040616e+16,4.7498899729040616e+16,5355641750856873.0
4432,IRQ20385.0,33.5,45.5,-26.04,-76.07,36.86
4433,IRQ20386.0,33.5,46.5,65.82,69.93,18.4
4434,IRQ20743.0,32.5,43.5,53.01,61.3,5.57
4435,IRQ20744.0,32.5,44.5,28.55,43.76,-9.11
4436,IRQ20745.0,32.5,45.5,14.3,21.08,-7.31
4437,IRQ20746.0,32.5,46.5,40.44,51.24,-3.48
4438,IRQ20747.0,32.5,47.5,-92.67,-100.0,679.25
4439,IRQ21104.0,31.5,44.5,-62.35,-90.86,85.01
4440,IRQ21105.0,31.5,45.5,28.76,67.05,-3.52
4441,IRQ21106.0,31.5,46.5,32.77,43.68,-11.75
4442,IRQ21107.0,31.5,47.5,40.72,58.56,-18.95
