,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
1633,14638.0,KAZ14638.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,58.5
1634,14646.0,KAZ14646.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,66.5
1635,14647.0,KAZ14647.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,67.5
1636,14650.0,KAZ14650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,70.5
1637,14651.0,KAZ14651.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,71.5
1638,14652.0,KAZ14652.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,72.5
1639,14653.0,KAZ14653.0,0.0,2.82,21.6,37.6,40.33,55.53,56.19,63.33,64.04,49.5,73.5
1640,14654.0,KAZ14654.0,50.0,0.0,15.33,71.84,77.07,72.3,47.69,82.03,74.43,49.5,74.5
1641,14655.0,KAZ14655.0,40.74,29.32,33.38,39.46,53.15,39.11,38.89,41.76,41.79,49.5,75.5
1642,14656.0,KAZ14656.0,37.74,88.83,89.04,89.98,90.6,90.84,90.86,90.14,90.14,49.5,76.5
1643,14657.0,KAZ14657.0,55.66,66.91,67.15,74.61,79.6,74.86,72.34,74.97,75.14,49.5,77.5
1644,14661.0,KAZ14661.0,79.62,84.55,84.96,86.7,91.12,85.87,85.3,87.28,86.58,49.5,81.5
1645,14662.0,KAZ14662.0,47.81,47.29,47.56,47.56,57.74,47.3,47.31,47.58,47.59,49.5,82.5
1646,14663.0,KAZ14663.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,83.5
1647,14990.0,KAZ14990.0,29.48,76.74,80.49,88.38,87.39,87.38,85.85,89.68,88.26,48.5,50.5
1648,14994.0,KAZ14994.0,50.0,0.0,0.0,38.36,39.46,0.39,0.0,50.57,15.25,48.5,54.5
1649,14995.0,KAZ14995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,55.5
1650,14997.0,KAZ14997.0,42.49,66.09,66.95,72.68,85.94,71.14,70.24,74.86,71.63,48.5,57.5
1651,15011.0,KAZ15011.0,20.36,43.61,44.47,58.05,68.83,48.44,45.5,61.7,51.56,48.5,71.5
1652,15013.0,KAZ15013.0,0.0,19.19,20.95,23.24,44.53,21.38,20.28,23.69,22.87,48.5,73.5
1653,15020.0,KAZ15020.0,50.0,0.21,0.23,23.49,21.7,4.29,0.42,31.35,12.09,48.5,80.5
1654,15021.0,KAZ15021.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.06,0.0,48.5,81.5
1655,15022.0,KAZ15022.0,0.0,3.59,6.74,69.62,66.98,51.37,31.26,78.03,58.38,48.5,82.5
1656,15023.0,KAZ15023.0,7.22,17.27,23.88,90.74,87.72,79.13,42.17,93.84,83.46,48.5,83.5
1657,15024.0,KAZ15024.0,18.89,62.11,67.02,99.56,99.13,98.29,82.99,99.74,99.03,48.5,84.5
1658,15025.0,KAZ15025.0,1.84,34.67,48.23,98.84,98.25,98.42,93.53,99.08,97.87,48.5,85.5
1659,15026.0,KAZ15026.0,26.26,69.48,75.83,95.37,96.39,88.4,77.59,96.42,91.89,48.5,86.5
1660,15352.0,KAZ15352.0,23.46,58.6,60.48,88.24,91.13,78.17,63.05,91.36,82.25,47.5,52.5
1661,15378.0,KAZ15378.0,13.4,47.82,50.85,89.62,90.22,83.93,65.47,90.72,86.45,47.5,78.5
1662,15379.0,KAZ15379.0,42.53,65.4,69.7,96.14,96.3,93.94,84.22,96.53,94.94,47.5,79.5
1663,15380.0,KAZ15380.0,26.63,69.21,74.48,91.34,94.79,88.45,84.48,92.3,89.55,47.5,80.5
1664,15381.0,KAZ15381.0,78.05,92.76,93.23,95.12,97.79,94.98,93.96,95.81,95.49,47.5,81.5
1665,15382.0,KAZ15382.0,68.76,87.65,89.05,90.18,94.22,89.39,88.85,90.66,90.42,47.5,82.5
1666,15383.0,KAZ15383.0,23.45,58.14,60.53,72.81,77.92,69.99,64.78,74.36,71.39,47.5,83.5
1667,15384.0,KAZ15384.0,50.0,0.0,0.0,2.22,2.13,0.46,0.25,3.15,1.32,47.5,84.5
1668,15385.0,KAZ15385.0,50.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,47.5,85.5
1669,15712.0,KAZ15712.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,52.5
1670,15721.0,KAZ15721.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,61.5
1671,15722.0,KAZ15722.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,62.5
1672,15734.0,KAZ15734.0,50.0,50.0,50.0,0.0,0.06,0.0,0.0,0.13,0.0,46.5,74.5
1673,15735.0,KAZ15735.0,50.0,50.0,0.0,28.42,41.39,34.11,28.92,47.84,34.46,46.5,75.5
1674,15739.0,KAZ15739.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,79.5
1675,15740.0,KAZ15740.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0,46.5,80.5
1676,15741.0,KAZ15741.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,46.5,81.5
1677,15742.0,KAZ15742.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,46.5,82.5
1678,15743.0,KAZ15743.0,50.0,50.0,40.66,29.76,56.25,51.92,40.72,64.87,46.84,46.5,83.5
1679,15744.0,KAZ15744.0,50.0,60.76,83.17,64.92,68.44,66.26,62.88,71.67,64.95,46.5,84.5
1680,15745.0,KAZ15745.0,0.0,9.78,21.0,20.48,35.54,8.97,9.33,15.72,20.35,46.5,85.5
1681,16081.0,KAZ16081.0,0.0,5.38,9.26,8.35,19.85,11.94,14.68,30.1,16.37,45.5,61.5
1682,16082.0,KAZ16082.0,50.0,50.0,50.0,0.0,0.57,0.0,0.0,0.38,0.0,45.5,62.5
1683,16083.0,KAZ16083.0,50.0,50.0,50.0,0.0,0.42,0.06,0.0,1.78,0.0,45.5,63.5
1684,16084.0,KAZ16084.0,50.0,50.0,50.0,0.0,0.99,0.0,0.0,1.91,0.0,45.5,64.5
1685,16085.0,KAZ16085.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,45.5,65.5
1686,16086.0,KAZ16086.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,45.5,66.5
1687,16087.0,KAZ16087.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,67.5
1688,16088.0,KAZ16088.0,89.32,92.15,92.41,92.78,90.11,86.39,83.48,86.86,89.78,45.5,68.5
1689,16093.0,KAZ16093.0,85.49,86.38,86.43,86.63,85.84,84.38,83.43,84.42,86.28,45.5,73.5
1690,16096.0,KAZ16096.0,93.87,94.44,94.54,94.73,94.07,93.22,93.81,93.4,94.79,45.5,76.5
1691,16097.0,KAZ16097.0,93.46,93.76,93.8,93.87,93.63,92.39,90.86,92.77,93.33,45.5,77.5
1692,16098.0,KAZ16098.0,82.9,90.71,91.22,91.74,82.8,67.0,59.9,69.26,71.89,45.5,78.5
1693,16099.0,KAZ16099.0,73.79,85.83,87.29,87.94,73.47,63.34,59.36,65.12,68.56,45.5,79.5
1694,16100.0,KAZ16100.0,73.14,87.85,90.16,91.15,73.0,63.21,54.24,65.61,68.2,45.5,80.5
1695,16101.0,KAZ16101.0,80.9,92.56,93.44,93.97,79.71,53.75,50.4,56.36,59.14,45.5,81.5
1696,16102.0,KAZ16102.0,85.26,88.88,89.11,89.35,85.41,59.49,39.61,64.86,66.12,45.5,82.5
1697,16441.0,KAZ16441.0,83.88,87.49,88.32,89.13,84.62,72.69,51.6,75.92,81.23,44.5,61.5
1698,16442.0,KAZ16442.0,85.79,86.29,86.35,86.69,86.54,81.9,46.02,83.76,85.03,44.5,62.5
1699,16443.0,KAZ16443.0,70.96,78.54,79.53,80.44,71.55,58.29,57.24,60.02,66.74,44.5,63.5
1700,16444.0,KAZ16444.0,68.38,75.25,76.18,76.91,69.27,61.22,53.78,62.48,65.52,44.5,64.5
1701,16445.0,KAZ16445.0,70.81,82.43,82.83,83.95,71.51,54.97,50.86,57.83,59.35,44.5,65.5
1702,16446.0,KAZ16446.0,76.88,75.76,75.76,76.72,79.05,79.08,81.91,79.08,81.91,44.5,66.5
1703,16447.0,KAZ16447.0,64.34,62.78,62.78,62.96,64.75,63.57,68.5,67.31,68.7,44.5,67.5
1704,16448.0,KAZ16448.0,76.72,74.5,74.67,75.12,77.34,73.4,78.52,76.29,76.89,44.5,68.5
1705,16449.0,KAZ16449.0,92.7,93.1,93.1,93.33,92.93,92.22,91.98,92.59,93.53,44.5,69.5
1706,16450.0,KAZ16450.0,98.07,97.91,97.92,97.92,98.06,96.64,96.31,97.61,97.56,44.5,70.5
1707,16451.0,KAZ16451.0,89.76,92.77,92.79,92.82,89.63,34.33,9.25,49.7,45.95,44.5,71.5
1708,16452.0,KAZ16452.0,39.62,53.28,55.62,55.19,49.23,45.13,45.4,37.62,57.74,44.5,72.5
1709,16453.0,KAZ16453.0,47.88,69.48,72.13,69.74,64.56,59.6,47.91,44.06,69.35,44.5,73.5
1710,16454.0,KAZ16454.0,48.45,69.7,71.96,70.04,66.79,63.69,53.76,49.15,75.58,44.5,74.5
1711,16455.0,KAZ16455.0,39.99,59.69,63.05,60.27,56.1,51.63,43.07,38.52,64.97,44.5,75.5
1712,16456.0,KAZ16456.0,57.64,70.77,72.07,71.21,69.95,66.72,58.23,55.81,72.71,44.5,76.5
1713,16457.0,KAZ16457.0,58.52,69.58,71.37,69.74,66.83,61.38,56.39,54.84,68.17,44.5,77.5
1714,16458.0,KAZ16458.0,70.06,84.79,85.79,84.9,82.11,72.09,57.99,56.73,81.27,44.5,78.5
1715,16459.0,KAZ16459.0,89.09,90.77,90.94,90.96,91.13,88.32,73.68,75.45,91.18,44.5,79.5
1716,16460.0,KAZ16460.0,92.82,93.66,93.74,93.74,93.82,93.8,91.26,91.66,94.05,44.5,80.5
1717,16806.0,KAZ16806.0,88.36,92.57,93.26,93.66,94.74,94.66,95.21,94.66,96.2,43.5,66.5
1718,16807.0,KAZ16807.0,90.51,90.28,90.39,90.4,90.66,90.65,91.39,90.87,91.68,43.5,67.5
1719,16808.0,KAZ16808.0,66.02,65.71,73.57,80.41,92.88,91.09,76.49,81.25,92.12,43.5,68.5
1720,16809.0,KAZ16809.0,18.5,26.54,33.26,40.21,58.42,53.31,38.35,42.11,54.25,43.5,69.5
1721,16810.0,KAZ16810.0,33.55,41.34,44.8,49.12,60.86,54.23,49.24,49.24,54.43,43.5,70.5
1722,16811.0,KAZ16811.0,59.96,69.41,72.36,75.62,82.78,79.1,75.69,75.7,79.23,43.5,71.5
1723,16812.0,KAZ16812.0,62.91,71.68,74.05,76.71,82.22,79.3,76.63,76.62,79.23,43.5,72.5
1724,16813.0,KAZ16813.0,69.41,77.67,79.84,82.27,87.21,84.63,82.38,82.36,84.72,43.5,73.5
1725,16814.0,KAZ16814.0,47.67,57.15,60.59,64.53,73.86,69.31,64.87,64.87,69.52,43.5,74.5
1726,16815.0,KAZ16815.0,54.72,64.58,67.46,70.91,78.28,74.56,71.12,71.11,74.67,43.5,75.5
1727,16816.0,KAZ16816.0,58.15,67.68,70.5,73.78,80.78,77.28,73.93,73.92,77.39,43.5,76.5
1728,16817.0,KAZ16817.0,55.56,67.67,70.87,74.26,81.29,77.79,74.44,74.43,77.89,43.5,77.5
1729,16818.0,KAZ16818.0,44.6,57.46,61.23,64.98,73.54,69.61,65.44,65.41,69.86,43.5,78.5
1730,16819.0,KAZ16819.0,65.55,72.82,74.95,77.9,83.68,80.21,77.44,77.44,80.3,43.5,79.5
1731,16820.0,KAZ16820.0,89.87,92.39,92.46,92.58,93.43,93.0,92.65,92.65,93.04,43.5,80.5
1732,17167.0,KAZ17167.0,94.18,96.19,96.13,96.07,96.08,96.13,96.13,96.13,96.17,42.5,67.5
1733,17168.0,KAZ17168.0,95.21,96.13,96.04,95.79,95.79,96.04,96.04,96.04,96.04,42.5,68.5
1734,17169.0,KAZ17169.0,93.66,98.28,98.34,98.49,98.5,98.33,97.6,97.4,98.37,42.5,69.5
1735,17170.0,KAZ17170.0,22.04,91.15,99.65,99.68,90.1,81.21,65.6,64.18,80.35,42.5,70.5
1736,17171.0,KAZ17171.0,24.97,63.33,99.67,99.73,73.78,63.12,62.94,62.32,63.12,42.5,71.5
1737,17172.0,KAZ17172.0,100.0,99.62,99.37,99.56,99.69,99.37,99.37,99.37,99.37,42.5,72.5
1738,17173.0,KAZ17173.0,99.09,82.05,78.33,79.88,80.01,78.33,78.34,78.34,78.34,42.5,73.5
1739,17174.0,KAZ17174.0,99.04,92.88,91.24,90.2,90.19,91.24,91.24,91.24,91.25,42.5,74.5
1740,17175.0,KAZ17175.0,50.0,50.0,50.0,50.0,0.0,100.0,100.0,50.0,100.0,42.5,75.5
1741,17176.0,KAZ17176.0,50.0,50.0,50.0,87.87,100.0,100.0,100.0,100.0,100.0,42.5,76.5
1742,17177.0,KAZ17177.0,18.0,37.14,43.85,98.44,100.0,100.0,100.0,100.0,100.0,42.5,77.5
1743,17178.0,KAZ17178.0,50.0,0.0,33.25,100.0,100.0,100.0,100.0,100.0,100.0,42.5,78.5
1744,17179.0,KAZ17179.0,23.1,45.81,74.85,100.0,100.0,100.0,100.0,100.0,100.0,42.5,79.5
1745,17180.0,KAZ17180.0,6.84,52.77,79.02,99.96,100.0,100.0,100.0,100.0,100.0,42.5,80.5
1746,17527.0,KAZ17527.0,73.79,72.64,74.52,98.48,99.8,99.96,99.73,99.65,99.97,41.5,67.5
1747,17528.0,KAZ17528.0,0.0,66.84,83.25,92.22,100.0,100.0,100.0,100.0,100.0,41.5,68.5
1748,17529.0,KAZ17529.0,47.57,49.19,40.5,63.95,99.16,98.53,99.45,99.62,95.86,41.5,69.5
1749,17530.0,KAZ17530.0,91.88,90.97,93.09,95.83,99.46,99.45,99.48,99.45,99.79,41.5,70.5
1750,17888.0,KAZ17888.0,89.32,88.75,90.72,92.67,99.24,99.65,99.25,99.27,99.69,40.5,68.5
1751,13144.0,NLD13144.0,88.12,87.53,90.58,92.69,99.48,99.96,99.35,99.35,99.91,53.5,4.5
1752,13145.0,NLD13145.0,0.0,0.0,0.0,0.0,79.38,99.96,73.75,76.79,97.58,53.5,5.5
1753,13504.0,NLD13504.0,0.0,0.49,0.49,1.39,79.07,98.31,79.07,71.42,94.24,52.5,4.5
1754,13505.0,NLD13505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,5.5
1755,13622.0,CHN13622.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,52.5,122.5
1756,13624.0,CHN13624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,124.5
1757,13983.0,CHN13983.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,123.5
1758,13984.0,CHN13984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,124.5
1759,13985.0,CHN13985.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,51.5,125.5
1760,14340.0,CHN14340.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.5,120.5
1761,14341.0,CHN14341.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.5,121.5
1762,14342.0,CHN14342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,122.5
1763,14343.0,CHN14343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,123.5
1764,14344.0,CHN14344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,124.5
1765,14345.0,CHN14345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,125.5
1766,14700.0,CHN14700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,120.5
1767,14701.0,CHN14701.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,121.5
1768,14702.0,CHN14702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,122.5
1769,14703.0,CHN14703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,123.5
1770,14704.0,CHN14704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,124.5
1771,14705.0,CHN14705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,125.5
1772,14706.0,CHN14706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,126.5
1773,15027.0,CHN15027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,87.5
1774,15028.0,CHN15028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,88.5
1775,15029.0,CHN15029.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,48.5,89.5
1776,15055.0,CHN15055.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,48.5,115.5
1777,15056.0,CHN15056.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,48.5,116.5
1778,15057.0,CHN15057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,117.5
1779,15058.0,CHN15058.0,100.0,100.0,100.0,98.37,99.73,99.78,99.73,100.0,96.42,48.5,118.5
1780,15059.0,CHN15059.0,67.86,60.64,65.3,67.9,74.62,70.77,74.62,83.45,64.21,48.5,119.5
1781,15060.0,CHN15060.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,48.5,120.5
1782,15061.0,CHN15061.0,6.2,1.44,7.25,5.7,90.83,96.88,88.2,90.21,79.39,48.5,121.5
1783,15062.0,CHN15062.0,71.66,68.63,73.71,76.74,98.9,99.93,98.8,98.95,99.54,48.5,122.5
1784,15063.0,CHN15063.0,80.57,80.28,84.69,87.7,97.89,98.53,97.93,98.1,98.5,48.5,123.5
1785,15064.0,CHN15064.0,84.89,83.52,85.56,86.06,96.03,98.06,95.89,96.43,97.5,48.5,124.5
1786,15065.0,CHN15065.0,96.86,96.1,97.24,97.88,99.71,99.89,99.73,99.75,99.91,48.5,125.5
1787,15066.0,CHN15066.0,93.84,93.55,94.98,96.01,98.33,98.87,98.42,98.38,98.75,48.5,126.5
1788,15067.0,CHN15067.0,72.67,73.73,76.56,80.9,95.27,96.66,95.5,95.21,96.73,48.5,127.5
1789,15068.0,CHN15068.0,25.1,27.34,27.41,28.01,38.14,52.06,43.28,40.43,50.83,48.5,128.5
1790,15386.0,CHN15386.0,3.47,11.45,11.45,15.53,35.37,76.4,34.94,42.52,47.41,47.5,86.5
1791,15387.0,CHN15387.0,50.68,54.29,55.49,60.46,66.23,78.13,71.41,67.07,86.74,47.5,87.5
1792,15388.0,CHN15388.0,68.76,72.89,74.33,79.58,90.58,94.59,93.16,91.09,96.8,47.5,88.5
1793,15389.0,CHN15389.0,73.14,77.01,77.46,81.65,91.57,95.76,93.1,91.66,97.2,47.5,89.5
1794,15390.0,CHN15390.0,75.9,78.33,78.35,80.61,80.99,85.94,83.04,80.54,90.06,47.5,90.5
1795,15415.0,CHN15415.0,80.98,82.21,82.18,83.37,83.38,85.28,84.74,83.2,89.49,47.5,115.5
1796,15416.0,CHN15416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,116.5
1797,15417.0,CHN15417.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,117.5
1798,15418.0,CHN15418.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,118.5
1799,15419.0,CHN15419.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,119.5
1800,15420.0,CHN15420.0,0.37,5.46,8.89,27.68,28.76,9.05,9.05,9.05,11.47,47.5,120.5
1801,15421.0,CHN15421.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,121.5
1802,15422.0,CHN15422.0,50.0,9.2,15.21,18.02,24.66,15.42,15.84,18.73,21.89,47.5,122.5
1803,15423.0,CHN15423.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,123.5
1804,15424.0,CHN15424.0,74.23,94.83,94.97,96.12,95.91,96.06,95.68,96.19,95.93,47.5,124.5
1805,15425.0,CHN15425.0,46.2,79.71,82.16,95.55,94.86,94.51,90.3,96.08,94.95,47.5,125.5
1806,15426.0,CHN15426.0,39.8,69.19,74.69,96.62,96.76,96.09,90.68,96.95,96.55,47.5,126.5
1807,15427.0,CHN15427.0,75.81,83.23,83.25,83.91,87.83,84.52,84.5,85.14,84.85,47.5,127.5
1808,15428.0,CHN15428.0,40.01,58.45,63.49,66.83,72.1,60.3,59.76,69.02,65.97,47.5,128.5
1809,15429.0,CHN15429.0,50.0,9.19,10.28,10.28,11.37,11.27,11.74,12.64,12.43,47.5,129.5
1810,15433.0,CHN15433.0,0.0,66.01,71.74,88.06,86.78,85.85,83.11,88.85,86.27,47.5,133.5
1811,15746.0,CHN15746.0,0.0,39.15,42.58,93.17,90.98,88.5,72.43,94.54,89.51,46.5,86.5
1812,15747.0,CHN15747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,87.5
1813,15748.0,CHN15748.0,0.0,65.03,66.02,92.36,87.23,92.89,85.29,93.26,90.31,46.5,88.5
1814,15749.0,CHN15749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,89.5
1815,15750.0,CHN15750.0,0.0,83.89,98.97,100.0,100.0,99.75,99.02,100.0,99.77,46.5,90.5
1816,15751.0,CHN15751.0,0.0,72.3,87.2,98.03,97.59,96.63,94.46,98.45,97.26,46.5,91.5
1817,15776.0,CHN15776.0,0.0,68.41,67.6,98.36,97.91,98.73,97.64,98.54,98.04,46.5,116.5
1818,15777.0,CHN15777.0,0.0,9.55,35.72,96.2,93.14,76.09,44.13,98.16,88.4,46.5,117.5
1819,15778.0,CHN15778.0,0.0,11.16,18.46,95.57,93.11,87.19,64.77,96.22,92.19,46.5,118.5
1820,15779.0,CHN15779.0,43.08,37.05,48.06,97.98,96.34,98.31,92.19,98.29,97.25,46.5,119.5
1821,15780.0,CHN15780.0,24.85,75.23,82.53,99.53,99.48,99.54,99.14,99.53,99.52,46.5,120.5
1822,15781.0,CHN15781.0,25.82,73.08,75.7,92.15,91.4,81.45,75.23,94.64,85.23,46.5,121.5
1823,15782.0,CHN15782.0,1.87,90.47,97.61,99.61,99.54,99.55,99.53,99.62,99.58,46.5,122.5
1824,15783.0,CHN15783.0,27.43,96.92,97.78,98.53,98.3,98.58,98.53,98.64,98.58,46.5,123.5
1825,15784.0,CHN15784.0,5.1,73.78,78.3,96.66,96.48,95.54,89.98,96.76,96.18,46.5,124.5
1826,15785.0,CHN15785.0,15.56,83.21,87.73,96.92,97.27,95.38,92.28,97.32,96.0,46.5,125.5
1827,15786.0,CHN15786.0,58.15,77.07,79.63,92.63,96.27,91.57,88.4,93.15,92.46,46.5,126.5
