,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
3896,17118.0,MNE17118.0,0.0,58.6,73.14,99.44,99.43,99.49,98.53,99.62,99.51,42.5,18.5
3897,16798.0,UZB16798.0,0.0,99.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.5,58.5
3898,16799.0,UZB16799.0,93.81,98.33,98.46,98.48,98.52,98.85,99.19,99.15,99.2,43.5,59.5
3899,16800.0,UZB16800.0,0.0,91.89,92.65,94.12,94.12,93.99,94.82,94.43,95.18,43.5,60.5
3900,17161.0,UZB17161.0,0.0,96.53,96.93,97.22,97.22,97.49,97.5,97.5,97.52,42.5,61.5
3901,17524.0,UZB17524.0,0.0,79.64,81.17,88.78,87.96,87.41,84.43,89.86,88.12,41.5,64.5
3902,17884.0,UZB17884.0,8.96,74.94,84.93,90.49,90.48,90.75,90.36,90.95,90.99,40.5,64.5
3903,17885.0,UZB17885.0,50.0,0.0,0.0,0.25,0.0,0.0,0.0,1.22,0.0,40.5,65.5
3904,17886.0,UZB17886.0,32.78,69.93,69.96,77.53,77.39,72.53,71.89,73.77,72.99,40.5,66.5
3905,17887.0,UZB17887.0,36.2,78.13,78.23,82.8,82.89,79.85,79.63,80.02,79.81,40.5,67.5
3906,18245.0,UZB18245.0,0.0,25.55,27.99,74.84,72.27,70.01,54.22,78.83,71.98,39.5,65.5
3907,18246.0,UZB18246.0,0.0,45.26,55.15,91.24,90.16,85.79,76.73,91.23,88.25,39.5,66.5
3908,17091.0,PRT17091.0,50.0,1.17,1.12,23.67,20.72,9.1,3.14,17.4,12.99,42.5,-8.5
3909,17451.0,PRT17451.0,50.0,16.09,19.46,55.31,52.23,46.46,36.14,57.57,50.63,41.5,-8.5
3910,17452.0,PRT17452.0,50.0,0.89,2.09,83.09,78.03,61.08,29.5,91.47,82.44,41.5,-7.5
3911,17453.0,PRT17453.0,50.0,0.0,0.01,6.04,2.62,2.48,10.43,28.7,24.54,41.5,-6.5
3912,17811.0,PRT17811.0,50.0,68.92,75.9,95.12,95.01,94.87,94.0,96.42,96.64,40.5,-8.5
3913,17812.0,PRT17812.0,0.0,11.96,20.66,89.38,84.72,71.99,51.34,88.91,78.24,40.5,-7.5
3914,17813.0,PRT17813.0,0.0,2.18,1.72,43.56,39.47,27.09,7.52,41.64,33.35,40.5,-6.5
3915,18170.0,PRT18170.0,0.0,5.27,4.31,39.95,37.91,13.92,8.09,25.37,19.06,39.5,-9.5
3916,18171.0,PRT18171.0,50.0,0.0,0.11,14.32,14.28,0.11,0.03,0.27,0.16,39.5,-8.5
3917,18172.0,PRT18172.0,50.0,0.0,0.0,8.36,8.36,0.16,1.98,0.73,0.91,39.5,-7.5
3918,18173.0,PRT18173.0,99.09,98.3,98.24,98.12,98.12,97.19,97.72,97.66,98.92,39.5,-6.5
3919,18530.0,PRT18530.0,99.39,98.66,98.51,97.56,95.6,95.51,97.56,96.85,97.55,38.5,-9.5
3920,18531.0,PRT18531.0,95.62,96.86,96.72,96.35,96.22,96.01,95.91,96.1,96.92,38.5,-8.5
3921,18532.0,PRT18532.0,92.81,93.12,92.72,91.75,91.23,91.26,91.75,91.8,92.51,38.5,-7.5
3922,18533.0,PRT18533.0,81.13,89.8,90.1,91.61,92.1,92.84,93.04,93.16,92.3,38.5,-6.5
3923,18891.0,PRT18891.0,51.21,63.36,67.7,69.0,76.39,77.81,85.29,81.42,72.31,37.5,-8.5
3924,18892.0,PRT18892.0,0.0,2.8,2.5,7.33,31.38,31.38,52.99,45.13,15.45,37.5,-7.5
3925,17119.0,ALB17119.0,50.0,50.0,50.0,0.0,100.0,100.0,100.0,100.0,68.17,42.5,19.5
3926,17120.0,ALB17120.0,50.0,0.0,0.06,0.76,36.22,32.06,100.0,97.62,42.8,42.5,20.5
3927,17479.0,ALB17479.0,0.0,3.96,5.9,10.82,33.59,37.24,100.0,98.8,60.12,41.5,19.5
3928,17480.0,ALB17480.0,50.0,50.0,50.0,0.0,2.12,0.33,91.08,83.97,46.83,41.5,20.5
3929,17839.0,ALB17839.0,0.0,6.31,8.13,21.24,71.01,76.45,99.8,98.15,84.49,40.5,19.5
3930,17121.0,MKD17121.0,93.16,94.06,94.26,94.42,94.57,94.67,95.04,94.86,94.74,42.5,21.5
3931,17122.0,MKD17122.0,99.97,99.93,99.92,99.87,99.86,99.99,100.0,100.0,100.0,42.5,22.5
3932,17123.0,BGR17123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,23.5
3933,17124.0,BGR17124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,24.5
3934,17125.0,BGR17125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,25.5
3935,17126.0,BGR17126.0,33.99,98.44,99.63,99.3,99.99,99.99,100.0,100.0,100.0,42.5,26.5
3936,17127.0,BGR17127.0,98.68,98.44,98.34,98.08,98.02,98.02,98.19,98.21,98.12,42.5,27.5
3937,17487.0,BGR17487.0,99.87,99.87,99.86,99.83,99.82,99.82,99.81,99.81,99.83,41.5,27.5
