,name,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
36,Croatia,HRV,73.13631578947368,57.83157894736843,55.20368421052631,56.84368421052631,60.368947368421054,74.13631578947368,75.72578947368422,76.17157894736842,71.70631578947368
37,Cuba,CUB,93.9086956521739,90.87260869565216,88.15913043478263,70.5195652173913,30.35391304347826,23.783478260869565,38.100869565217394,25.831739130434777,23.99130434782609
38,Cyprus,CYP,48.742000000000004,33.53,49.424,50.18000000000001,54.572,46.528,48.013999999999996,47.914,42.8
39,Czech Republic,CZE,53.08,23.991999999999997,22.748,22.466,22.942,29.012,35.925999999999995,52.834,26.982
40,Democratic Republic of the Congo,COD,22.905,27.21301282051282,31.03628205128205,52.255641025641026,79.94326923076918,82.96647435897438,85.02076923076925,73.7580128205128,79.20576923076925
41,Denmark,DNK,27.781999999999996,25.522666666666662,25.166,24.573333333333334,24.78666666666667,33.830000000000005,40.331333333333326,34.148,32.90266666666667
42,Djibouti,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Dominican Republic,DOM,71.08555555555556,76.8088888888889,73.61666666666666,51.56,32.91888888888889,27.012222222222217,34.43777777777778,27.865555555555556,27.13222222222222
44,Ecuador,ECU,22.517096774193547,32.84903225806452,48.07322580645161,44.0932258064516,36.15129032258065,29.28193548387097,34.54193548387096,28.337419354838705,26.47741935483871
45,Egypt,EGY,33.131612903225815,31.765806451612903,30.808709677419355,25.408387096774188,20.439354838709672,17.130967741935486,0.42032258064516126,1.5109677419354839,11.072580645161288
46,El Salvador,SLV,70.3,61.0,57.25,42.48,25.74,20.38,25.79,21.33,19.78
47,Equatorial Guinea,GNQ,0.0,0.0,0.0,0.0,100.0,100.0,99.64666666666666,69.75666666666667,87.05666666666667
48,Eritrea,ERI,34.92666666666667,41.547777777777775,41.7,40.581111111111106,28.649999999999995,31.581111111111106,30.974444444444444,15.081111111111113,28.505555555555556
49,Estonia,EST,71.23666666666666,66.35833333333333,61.93833333333333,62.44166666666666,70.365,84.27833333333332,86.32833333333333,85.955,79.92666666666668
50,Ethiopia,ETH,8.244056603773585,9.913679245283017,9.307358490566036,16.99245283018868,24.13330188679245,25.035849056603784,22.383679245283016,9.30188679245283,18.21377358490566
51,Finland,FIN,81.82893617021276,74.03787234042554,69.50361702127658,67.74957446808509,78.65404255319149,81.46446808510638,77.46191489361703,77.66063829787231,72.4772340425532
52,France,FRA,26.404823529411765,21.72176470588235,21.077882352941177,20.597764705882362,25.98247058823529,32.181294117647056,41.29800000000001,32.12811764705883,27.432941176470585
53,French Guiana,GUF,0.0,0.0,0.0,100.0,100.0,99.47,100.0,98.705,98.85499999999999
54,Gabon,GAB,4.761904761904762,9.523809523809524,9.523809523809524,28.535714285714285,70.61571428571428,83.52000000000001,84.2452380952381,86.06476190476191,92.22047619047619
55,Gambia,GMB,2.4475,1.4449999999999998,1.3575,1.8525,4.265000000000001,4.8975,4.9399999999999995,5.077500000000001,5.07
56,Georgia,GEO,7.2557142857142845,6.341428571428572,5.92,8.264285714285714,8.674285714285714,6.162857142857143,7.425714285714286,11.154285714285715,6.091428571428572
57,Germany,DEU,39.30500000000001,35.7025,35.28857142857142,34.53517857142857,35.53053571428571,39.8725,45.40696428571429,39.97910714285714,37.71017857142857
58,Ghana,GHA,40.187999999999995,39.936,39.3744,42.7112,32.86000000000001,29.08279999999999,27.158400000000007,14.445200000000002,19.243199999999998
59,Gibraltar,GIB,10.01,8.01,7.92,7.9,10.2,23.17,30.29,20.43,21.4
