,iso3,long,lat,SSP1,SSP3,SSP5
144,RUS11032.0,59.5,52.5,0.0,0.0,0.0
145,RUS11033.0,59.5,53.5,-0.66,-0.56,-10.75
146,RUS11034.0,59.5,54.5,-5.72,-4.19,-23.65
147,RUS11035.0,59.5,55.5,-4.88,-4.46,-16.86
148,RUS11036.0,59.5,56.5,-0.8,-0.58,-8.55
149,RUS11037.0,59.5,57.5,-8.9,-7.84,-19.99
150,RUS11040.0,59.5,60.5,-0.67,-0.67,-2.87
151,RUS11041.0,59.5,61.5,6.64,6.37,-1.9
152,RUS11042.0,59.5,62.5,8.19,5.33,-17.2
153,RUS11043.0,59.5,63.5,7.54,7.11,-10.65
154,RUS11044.0,59.5,64.5,-6.77,-6.77,-17.01
155,RUS11045.0,59.5,65.5,0.79,1.3,-0.91
156,RUS11046.0,59.5,66.5,5.04,5.58,-0.05
157,RUS11047.0,59.5,67.5,2.11,2.58,-0.47
158,RUS11048.0,59.5,68.5,0.01,0.01,0.0
159,RUS11060.0,59.5,80.5,0.21,0.21,0.13
160,RUS11069.0,59.5,89.5,0.03,0.03,-0.37
161,RUS11071.0,59.5,91.5,0.06,0.06,-0.01
162,RUS11079.0,59.5,99.5,0.0,0.0,0.0
163,RUS11367.0,58.5,27.5,0.0,0.0,0.0
164,RUS11368.0,58.5,28.5,0.03,0.03,-0.0
165,RUS11369.0,58.5,29.5,-0.01,-0.01,-0.01
166,RUS11370.0,58.5,30.5,-0.0,-0.0,-0.0
167,RUS11371.0,58.5,31.5,0.0,0.0,0.0
168,RUS11372.0,58.5,32.5,0.0,0.0,0.0
169,RUS11373.0,58.5,33.5,0.0,0.0,0.0
170,RUS11374.0,58.5,34.5,0.0,0.0,0.0
171,RUS11375.0,58.5,35.5,0.0,0.0,0.0
172,RUS11376.0,58.5,36.5,0.0,0.0,0.0
173,RUS11377.0,58.5,37.5,0.0,0.0,0.0
174,RUS11378.0,58.5,38.5,0.0,0.0,0.0
175,RUS11379.0,58.5,39.5,0.0,0.0,0.0
176,RUS11380.0,58.5,40.5,0.0,0.0,0.0
177,RUS11381.0,58.5,41.5,0.0,0.0,0.0
178,RUS11382.0,58.5,42.5,0.0,0.0,0.0
179,RUS11383.0,58.5,43.5,0.0,0.0,0.0
180,RUS11384.0,58.5,44.5,0.0,0.0,0.0
181,RUS11385.0,58.5,45.5,0.0,0.0,0.0
182,RUS11386.0,58.5,46.5,0.0,0.0,0.0
183,RUS11387.0,58.5,47.5,-0.24,-0.24,-0.24
184,RUS11388.0,58.5,48.5,0.0,0.0,0.0
185,RUS11389.0,58.5,49.5,0.0,0.0,0.0
186,RUS11390.0,58.5,50.5,0.0,0.0,0.0
187,RUS11391.0,58.5,51.5,0.0,0.0,0.0
188,RUS11392.0,58.5,52.5,0.0,0.0,0.0
189,RUS11393.0,58.5,53.5,0.0,0.0,0.0
190,RUS11394.0,58.5,54.5,0.0,0.0,0.0
191,RUS11395.0,58.5,55.5,0.0,0.0,0.0
192,RUS11396.0,58.5,56.5,0.0,0.0,0.0
193,RUS11397.0,58.5,57.5,0.0,0.0,0.0
194,RUS11398.0,58.5,58.5,0.0,0.0,0.0
195,RUS11399.0,58.5,59.5,0.0,0.0,0.0
196,RUS11400.0,58.5,60.5,0.0,0.0,0.0
197,RUS11401.0,58.5,61.5,0.0,0.0,0.0
198,RUS11402.0,58.5,62.5,0.0,0.0,0.0
199,RUS11403.0,58.5,63.5,0.0,0.0,0.0
200,RUS11404.0,58.5,64.5,0.0,0.0,0.0
201,RUS11405.0,58.5,65.5,-0.44,-0.44,-0.45
202,RUS11406.0,58.5,66.5,-0.06,-0.06,-0.06
203,RUS11407.0,58.5,67.5,0.0,0.0,0.0
204,RUS11408.0,58.5,68.5,0.0,0.0,0.0
205,RUS11409.0,58.5,69.5,7.47,0.01,0.15
206,RUS11415.0,58.5,75.5,52.18,4.47,4.47
207,RUS11416.0,58.5,76.5,143.05,0.11,5.5
208,RUS11417.0,58.5,77.5,73.14,-10.28,-4.96
209,RUS11418.0,58.5,78.5,0.0,0.0,-0.6
210,RUS11419.0,58.5,79.5,0.3,0.3,0.22
211,RUS11420.0,58.5,80.5,0.0,0.0,0.0
212,RUS11421.0,58.5,81.5,27.94,27.94,49.45
213,RUS11422.0,58.5,82.5,5.75,1.97,3.72
214,RUS11423.0,58.5,83.5,-2.28,-2.54,-16.32
215,RUS11424.0,58.5,84.5,-0.65,-0.7,-8.45
216,RUS11425.0,58.5,85.5,-0.36,-1.57,-7.33
217,RUS11426.0,58.5,86.5,-0.06,-0.29,-7.4
218,RUS11428.0,58.5,88.5,-6.06,-10.92,-23.44
219,RUS11430.0,58.5,90.5,-18.33,-17.72,-33.72
220,RUS11431.0,58.5,91.5,0.0,0.0,0.0
221,RUS11432.0,58.5,92.5,-0.33,-0.33,-1.68
222,RUS11433.0,58.5,93.5,-0.14,-0.14,-1.7
223,RUS11436.0,58.5,96.5,-0.97,-0.98,-3.49
224,RUS11437.0,58.5,97.5,1.88,1.76,-15.0
225,RUS11438.0,58.5,98.5,3.57,3.09,-7.2
226,RUS11439.0,58.5,99.5,6.92,6.9,-8.74
227,RUS11440.0,58.5,100.5,0.0,0.0,0.0
228,RUS11441.0,58.5,101.5,1.18,1.25,0.0
229,RUS11728.0,57.5,28.5,0.25,0.29,0.0
230,RUS11729.0,57.5,29.5,-0.03,-0.03,-0.03
231,RUS11730.0,57.5,30.5,0.0,0.0,0.0
232,RUS11731.0,57.5,31.5,-0.03,-0.03,-0.03
233,RUS11732.0,57.5,32.5,0.0,0.0,0.0
234,RUS11733.0,57.5,33.5,0.0,0.0,0.0
235,RUS11734.0,57.5,34.5,0.0,0.0,0.0
236,RUS11735.0,57.5,35.5,2.02,2.04,0.0
237,RUS11736.0,57.5,36.5,15.84,19.18,-0.96
238,RUS11737.0,57.5,37.5,12.49,13.09,0.22
239,RUS11738.0,57.5,38.5,3.28,4.16,0.0
240,RUS11739.0,57.5,39.5,0.13,0.13,0.0
241,RUS11740.0,57.5,40.5,0.0,0.0,0.0
242,RUS11741.0,57.5,41.5,0.0,0.0,0.0
243,RUS11742.0,57.5,42.5,0.0,0.0,0.0
244,RUS11743.0,57.5,43.5,-0.0,-0.0,-0.0
245,RUS11744.0,57.5,44.5,0.0,0.0,0.0
246,RUS11745.0,57.5,45.5,1.25,1.35,0.03
247,RUS11746.0,57.5,46.5,10.37,11.76,0.77
248,RUS11747.0,57.5,47.5,2.58,2.77,0.17
249,RUS11748.0,57.5,48.5,1.66,1.96,0.1
250,RUS11749.0,57.5,49.5,14.22,14.62,0.14
251,RUS11750.0,57.5,50.5,28.88,29.06,1.37
252,RUS11751.0,57.5,51.5,0.66,0.66,0.02
253,RUS11752.0,57.5,52.5,1.67,1.78,0.1
254,RUS11753.0,57.5,53.5,6.8,7.4,0.13
255,RUS11754.0,57.5,54.5,0.2,0.2,0.0
256,RUS11755.0,57.5,55.5,0.28,0.29,0.02
257,RUS11756.0,57.5,56.5,0.0,0.0,0.0
258,RUS11757.0,57.5,57.5,0.0,0.0,0.0
259,RUS11758.0,57.5,58.5,0.45,0.45,-0.01
260,RUS11759.0,57.5,59.5,0.0,0.0,0.0
261,RUS11760.0,57.5,60.5,0.06,0.06,0.0
262,RUS11761.0,57.5,61.5,0.0,0.0,0.0
263,RUS11762.0,57.5,62.5,0.0,0.0,0.0
264,RUS11763.0,57.5,63.5,0.0,0.0,0.0
265,RUS11764.0,57.5,64.5,0.0,0.0,0.0
