,fid,GRIDCODE,region,country,lat,lng,iso3
144,11032,11033,Eurasia,Russia,59.5,52.5,RUS
145,11033,11034,Eurasia,Russia,59.5,53.5,RUS
146,11034,11035,Eurasia,Russia,59.5,54.5,RUS
147,11035,11036,Eurasia,Russia,59.5,55.5,RUS
148,11036,11037,Eurasia,Russia,59.5,56.5,RUS
149,11037,11038,Eurasia,Russia,59.5,57.5,RUS
150,11040,11041,Eurasia,Russia,59.5,60.5,RUS
151,11041,11042,Eurasia,Russia,59.5,61.5,RUS
152,11042,11043,Eurasia,Russia,59.5,62.5,RUS
153,11043,11044,Eurasia,Russia,59.5,63.5,RUS
154,11044,11045,Eurasia,Russia,59.5,64.5,RUS
155,11045,11046,Eurasia,Russia,59.5,65.5,RUS
156,11046,11047,Eurasia,Russia,59.5,66.5,RUS
157,11047,11048,Eurasia,Russia,59.5,67.5,RUS
158,11048,11049,Eurasia,Russia,59.5,68.5,RUS
159,11060,11061,Eurasia,Russia,59.5,80.5,RUS
160,11069,11070,Eurasia,Russia,59.5,89.5,RUS
161,11071,11072,Eurasia,Russia,59.5,91.5,RUS
162,11079,11080,Eurasia,Russia,59.5,99.5,RUS
163,11367,11368,Eurasia,Russia,58.5,27.5,RUS
164,11368,11369,Eurasia,Russia,58.5,28.5,RUS
165,11369,11370,Eurasia,Russia,58.5,29.5,RUS
166,11370,11371,Eurasia,Russia,58.5,30.5,RUS
167,11371,11372,Eurasia,Russia,58.5,31.5,RUS
168,11372,11373,Eurasia,Russia,58.5,32.5,RUS
169,11373,11374,Eurasia,Russia,58.5,33.5,RUS
170,11374,11375,Eurasia,Russia,58.5,34.5,RUS
171,11375,11376,Eurasia,Russia,58.5,35.5,RUS
172,11376,11377,Eurasia,Russia,58.5,36.5,RUS
173,11377,11378,Eurasia,Russia,58.5,37.5,RUS
174,11378,11379,Eurasia,Russia,58.5,38.5,RUS
175,11379,11380,Eurasia,Russia,58.5,39.5,RUS
176,11380,11381,Eurasia,Russia,58.5,40.5,RUS
177,11381,11382,Eurasia,Russia,58.5,41.5,RUS
178,11382,11383,Eurasia,Russia,58.5,42.5,RUS
179,11383,11384,Eurasia,Russia,58.5,43.5,RUS
180,11384,11385,Eurasia,Russia,58.5,44.5,RUS
181,11385,11386,Eurasia,Russia,58.5,45.5,RUS
182,11386,11387,Eurasia,Russia,58.5,46.5,RUS
183,11387,11388,Eurasia,Russia,58.5,47.5,RUS
184,11388,11389,Eurasia,Russia,58.5,48.5,RUS
185,11389,11390,Eurasia,Russia,58.5,49.5,RUS
186,11390,11391,Eurasia,Russia,58.5,50.5,RUS
187,11391,11392,Eurasia,Russia,58.5,51.5,RUS
188,11392,11393,Eurasia,Russia,58.5,52.5,RUS
189,11393,11394,Eurasia,Russia,58.5,53.5,RUS
190,11394,11395,Eurasia,Russia,58.5,54.5,RUS
191,11395,11396,Eurasia,Russia,58.5,55.5,RUS
192,11396,11397,Eurasia,Russia,58.5,56.5,RUS
193,11397,11398,Eurasia,Russia,58.5,57.5,RUS
194,11398,11399,Eurasia,Russia,58.5,58.5,RUS
195,11399,11400,Eurasia,Russia,58.5,59.5,RUS
196,11400,11401,Eurasia,Russia,58.5,60.5,RUS
197,11401,11402,Eurasia,Russia,58.5,61.5,RUS
198,11402,11403,Eurasia,Russia,58.5,62.5,RUS
199,11403,11404,Eurasia,Russia,58.5,63.5,RUS
200,11404,11405,Eurasia,Russia,58.5,64.5,RUS
201,11405,11406,Eurasia,Russia,58.5,65.5,RUS
202,11406,11407,Eurasia,Russia,58.5,66.5,RUS
203,11407,11408,Eurasia,Russia,58.5,67.5,RUS
204,11408,11409,Eurasia,Russia,58.5,68.5,RUS
205,11409,11410,Eurasia,Russia,58.5,69.5,RUS
206,11415,11416,Eurasia,Russia,58.5,75.5,RUS
207,11416,11417,Eurasia,Russia,58.5,76.5,RUS
208,11417,11418,Eurasia,Russia,58.5,77.5,RUS
209,11418,11419,Eurasia,Russia,58.5,78.5,RUS
210,11419,11420,Eurasia,Russia,58.5,79.5,RUS
211,11420,11421,Eurasia,Russia,58.5,80.5,RUS
212,11421,11422,Eurasia,Russia,58.5,81.5,RUS
213,11422,11423,Eurasia,Russia,58.5,82.5,RUS
214,11423,11424,Eurasia,Russia,58.5,83.5,RUS
215,11424,11425,Eurasia,Russia,58.5,84.5,RUS
216,11425,11426,Eurasia,Russia,58.5,85.5,RUS
217,11426,11427,Eurasia,Russia,58.5,86.5,RUS
218,11428,11429,Eurasia,Russia,58.5,88.5,RUS
219,11430,11431,Eurasia,Russia,58.5,90.5,RUS
220,11431,11432,Eurasia,Russia,58.5,91.5,RUS
221,11432,11433,Eurasia,Russia,58.5,92.5,RUS
222,11433,11434,Eurasia,Russia,58.5,93.5,RUS
223,11436,11437,Eurasia,Russia,58.5,96.5,RUS
224,11437,11438,Eurasia,Russia,58.5,97.5,RUS
225,11438,11439,Eurasia,Russia,58.5,98.5,RUS
226,11439,11440,Eurasia,Russia,58.5,99.5,RUS
227,11440,11441,Eurasia,Russia,58.5,100.5,RUS
228,11441,11442,Eurasia,Russia,58.5,101.5,RUS
229,11728,11729,Eurasia,Russia,57.5,28.5,RUS
230,11729,11730,Eurasia,Russia,57.5,29.5,RUS
231,11730,11731,Eurasia,Russia,57.5,30.5,RUS
232,11731,11732,Eurasia,Russia,57.5,31.5,RUS
233,11732,11733,Eurasia,Russia,57.5,32.5,RUS
234,11733,11734,Eurasia,Russia,57.5,33.5,RUS
235,11734,11735,Eurasia,Russia,57.5,34.5,RUS
236,11735,11736,Eurasia,Russia,57.5,35.5,RUS
237,11736,11737,Eurasia,Russia,57.5,36.5,RUS
238,11737,11738,Eurasia,Russia,57.5,37.5,RUS
239,11738,11739,Eurasia,Russia,57.5,38.5,RUS
240,11739,11740,Eurasia,Russia,57.5,39.5,RUS
241,11740,11741,Eurasia,Russia,57.5,40.5,RUS
242,11741,11742,Eurasia,Russia,57.5,41.5,RUS
243,11742,11743,Eurasia,Russia,57.5,42.5,RUS
244,11743,11744,Eurasia,Russia,57.5,43.5,RUS
245,11744,11745,Eurasia,Russia,57.5,44.5,RUS
246,11745,11746,Eurasia,Russia,57.5,45.5,RUS
247,11746,11747,Eurasia,Russia,57.5,46.5,RUS
248,11747,11748,Eurasia,Russia,57.5,47.5,RUS
249,11748,11749,Eurasia,Russia,57.5,48.5,RUS
250,11749,11750,Eurasia,Russia,57.5,49.5,RUS
251,11750,11751,Eurasia,Russia,57.5,50.5,RUS
252,11751,11752,Eurasia,Russia,57.5,51.5,RUS
253,11752,11753,Eurasia,Russia,57.5,52.5,RUS
254,11753,11754,Eurasia,Russia,57.5,53.5,RUS
255,11754,11755,Eurasia,Russia,57.5,54.5,RUS
256,11755,11756,Eurasia,Russia,57.5,55.5,RUS
257,11756,11757,Eurasia,Russia,57.5,56.5,RUS
258,11757,11758,Eurasia,Russia,57.5,57.5,RUS
259,11758,11759,Eurasia,Russia,57.5,58.5,RUS
260,11759,11760,Eurasia,Russia,57.5,59.5,RUS
261,11760,11761,Eurasia,Russia,57.5,60.5,RUS
262,11761,11762,Eurasia,Russia,57.5,61.5,RUS
263,11762,11763,Eurasia,Russia,57.5,62.5,RUS
264,11763,11764,Eurasia,Russia,57.5,63.5,RUS
265,11764,11765,Eurasia,Russia,57.5,64.5,RUS
266,11765,11766,Eurasia,Russia,57.5,65.5,RUS
267,11766,11767,Eurasia,Russia,57.5,66.5,RUS
268,11767,11768,Eurasia,Russia,57.5,67.5,RUS
269,11768,11769,Eurasia,Russia,57.5,68.5,RUS
270,11769,11770,Eurasia,Russia,57.5,69.5,RUS
271,11770,11771,Eurasia,Russia,57.5,70.5,RUS
272,11771,11772,Eurasia,Russia,57.5,71.5,RUS
273,11772,11773,Eurasia,Russia,57.5,72.5,RUS
274,11773,11774,Eurasia,Russia,57.5,73.5,RUS
275,11774,11775,Eurasia,Russia,57.5,74.5,RUS
276,11775,11776,Eurasia,Russia,57.5,75.5,RUS
277,11776,11777,Eurasia,Russia,57.5,76.5,RUS
278,11777,11778,Eurasia,Russia,57.5,77.5,RUS
279,11778,11779,Eurasia,Russia,57.5,78.5,RUS
280,11779,11780,Eurasia,Russia,57.5,79.5,RUS
281,11780,11781,Eurasia,Russia,57.5,80.5,RUS
282,11781,11782,Eurasia,Russia,57.5,81.5,RUS
283,11782,11783,Eurasia,Russia,57.5,82.5,RUS
284,11783,11784,Eurasia,Russia,57.5,83.5,RUS
285,11784,11785,Eurasia,Russia,57.5,84.5,RUS
286,11785,11786,Eurasia,Russia,57.5,85.5,RUS
287,11786,11787,Eurasia,Russia,57.5,86.5,RUS
288,11787,11788,Eurasia,Russia,57.5,87.5,RUS
289,11788,11789,Eurasia,Russia,57.5,88.5,RUS
290,11789,11790,Eurasia,Russia,57.5,89.5,RUS
291,11790,11791,Eurasia,Russia,57.5,90.5,RUS
292,11791,11792,Eurasia,Russia,57.5,91.5,RUS
293,11792,11793,Eurasia,Russia,57.5,92.5,RUS
294,11793,11794,Eurasia,Russia,57.5,93.5,RUS
295,11794,11795,Eurasia,Russia,57.5,94.5,RUS
296,11795,11796,Eurasia,Russia,57.5,95.5,RUS
297,11796,11797,Eurasia,Russia,57.5,96.5,RUS
298,11797,11798,Eurasia,Russia,57.5,97.5,RUS
299,11798,11799,Eurasia,Russia,57.5,98.5,RUS
300,11799,11800,Eurasia,Russia,57.5,99.5,RUS
301,11800,11801,Eurasia,Russia,57.5,100.5,RUS
302,12089,12090,Eurasia,Russia,56.5,29.5,RUS
303,12090,12091,Eurasia,Russia,56.5,30.5,RUS
304,12091,12092,Eurasia,Russia,56.5,31.5,RUS
305,12092,12093,Eurasia,Russia,56.5,32.5,RUS
306,12093,12094,Eurasia,Russia,56.5,33.5,RUS
307,12094,12095,Eurasia,Russia,56.5,34.5,RUS
308,12095,12096,Eurasia,Russia,56.5,35.5,RUS
309,12096,12097,Eurasia,Russia,56.5,36.5,RUS
310,12097,12098,Eurasia,Russia,56.5,37.5,RUS
311,12098,12099,Eurasia,Russia,56.5,38.5,RUS
312,12099,12100,Eurasia,Russia,56.5,39.5,RUS
313,12100,12101,Eurasia,Russia,56.5,40.5,RUS
314,12101,12102,Eurasia,Russia,56.5,41.5,RUS
315,12102,12103,Eurasia,Russia,56.5,42.5,RUS
316,12103,12104,Eurasia,Russia,56.5,43.5,RUS
317,12104,12105,Eurasia,Russia,56.5,44.5,RUS
318,12105,12106,Eurasia,Russia,56.5,45.5,RUS
319,12106,12107,Eurasia,Russia,56.5,46.5,RUS
320,12107,12108,Eurasia,Russia,56.5,47.5,RUS
321,12108,12109,Eurasia,Russia,56.5,48.5,RUS
322,12109,12110,Eurasia,Russia,56.5,49.5,RUS
323,12110,12111,Eurasia,Russia,56.5,50.5,RUS
324,12111,12112,Eurasia,Russia,56.5,51.5,RUS
325,12112,12113,Eurasia,Russia,56.5,52.5,RUS
326,12113,12114,Eurasia,Russia,56.5,53.5,RUS
327,12114,12115,Eurasia,Russia,56.5,54.5,RUS
328,12115,12116,Eurasia,Russia,56.5,55.5,RUS
329,12116,12117,Eurasia,Russia,56.5,56.5,RUS
330,12117,12118,Eurasia,Russia,56.5,57.5,RUS
331,12118,12119,Eurasia,Russia,56.5,58.5,RUS
332,12119,12120,Eurasia,Russia,56.5,59.5,RUS
333,12120,12121,Eurasia,Russia,56.5,60.5,RUS
334,12121,12122,Eurasia,Russia,56.5,61.5,RUS
335,12122,12123,Eurasia,Russia,56.5,62.5,RUS
336,12123,12124,Eurasia,Russia,56.5,63.5,RUS
337,12124,12125,Eurasia,Russia,56.5,64.5,RUS
338,12125,12126,Eurasia,Russia,56.5,65.5,RUS
