,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
7963,33691.0,TZA33691.0,50.27,43.0,40.79,29.07,24.65,30.86,33.12,19.3,32.81,-3.5,31.5
7964,33692.0,TZA33692.0,11.21,10.45,10.34,9.92,5.13,4.71,5.94,4.58,4.7,-3.5,32.5
7965,33693.0,TZA33693.0,1.61,2.19,2.37,1.28,1.28,1.06,1.47,1.0,1.0,-3.5,33.5
7966,33694.0,TZA33694.0,0.0,0.0,0.01,0.11,0.5,0.84,0.85,0.62,0.7,-3.5,34.5
7967,33695.0,TZA33695.0,21.99,27.21,28.69,32.17,19.68,17.43,38.07,6.61,13.52,-3.5,35.5
7968,33696.0,TZA33696.0,0.0,0.04,0.46,8.46,12.26,13.93,26.02,8.48,12.55,-3.5,36.5
7969,34051.0,TZA34051.0,0.0,0.0,0.0,75.01,54.5,38.81,38.81,30.85,30.85,-4.5,31.5
7970,34052.0,TZA34052.0,27.53,26.83,26.87,25.62,18.93,11.29,11.99,9.24,9.42,-4.5,32.5
7971,34053.0,TZA34053.0,40.19,37.36,36.37,11.57,5.42,2.66,3.33,1.5,1.67,-4.5,33.5
7972,34054.0,TZA34054.0,14.94,14.3,13.97,1.68,0.05,0.19,0.18,0.22,0.25,-4.5,34.5
7973,34055.0,TZA34055.0,0.06,0.21,0.24,1.4,2.93,4.07,4.08,4.66,4.67,-4.5,35.5
7974,34056.0,TZA34056.0,9.7,6.63,6.33,7.43,9.05,8.74,8.75,8.28,8.28,-4.5,36.5
7975,34057.0,TZA34057.0,0.0,1.03,1.05,1.32,3.57,9.04,10.38,8.0,11.27,-4.5,37.5
7976,34409.0,TZA34409.0,100.0,100.0,100.0,97.77,76.57,31.24,30.35,18.51,18.52,-5.5,29.5
7977,34410.0,TZA34410.0,0.0,0.0,0.0,35.13,8.75,2.48,2.42,2.1,2.07,-5.5,30.5
7978,34411.0,TZA34411.0,79.07,12.08,16.08,16.08,13.32,21.31,20.88,21.79,21.69,-5.5,31.5
7979,34412.0,TZA34412.0,14.15,13.87,13.37,2.39,1.19,2.14,2.11,3.1,3.11,-5.5,32.5
7980,34413.0,TZA34413.0,23.07,21.53,21.35,17.27,14.75,12.39,12.36,12.61,12.61,-5.5,33.5
7981,34414.0,TZA34414.0,3.16,5.56,6.06,8.18,0.12,0.65,0.74,0.89,0.97,-5.5,34.5
7982,34415.0,TZA34415.0,3.06,1.18,1.23,4.21,2.2,1.73,1.72,1.63,1.64,-5.5,35.5
7983,34416.0,TZA34416.0,0.64,0.66,0.67,0.77,0.68,0.72,0.72,0.72,0.72,-5.5,36.5
7984,34417.0,TZA34417.0,4.53,4.96,5.33,2.79,1.97,7.16,7.18,8.54,8.56,-5.5,37.5
7985,34418.0,TZA34418.0,0.13,0.27,0.3,1.07,1.88,3.49,3.47,4.55,4.55,-5.5,38.5
7986,34419.0,TZA34419.0,0.0,0.0,0.0,0.0,0.55,0.66,0.59,0.66,0.65,-5.5,39.5
7987,34769.0,TZA34769.0,100.0,100.0,100.0,99.63,88.89,76.42,79.13,55.41,62.55,-6.5,29.5
7988,34770.0,TZA34770.0,0.0,100.0,100.0,5.34,11.85,6.02,6.15,2.73,3.59,-6.5,30.5
7989,34771.0,TZA34771.0,0.0,0.0,0.0,17.96,23.63,21.89,21.9,20.58,21.9,-6.5,31.5
7990,34772.0,TZA34772.0,0.0,0.0,0.0,0.0,0.0,32.31,32.31,31.89,31.89,-6.5,32.5
7991,34774.0,TZA34774.0,100.0,100.0,100.0,94.09,7.46,8.35,8.35,10.29,10.29,-6.5,34.5
7992,34775.0,TZA34775.0,2.16,2.34,2.31,3.0,1.23,1.31,1.34,1.25,1.26,-6.5,35.5
7993,34776.0,TZA34776.0,39.87,42.14,42.11,36.71,3.41,4.77,7.31,3.81,5.96,-6.5,36.5
7994,34777.0,TZA34777.0,17.8,25.4,27.01,44.68,41.09,20.37,31.88,9.4,14.95,-6.5,37.5
7995,34778.0,TZA34778.0,9.72,2.89,2.98,0.87,0.44,2.02,2.27,2.44,2.44,-6.5,38.5
7996,34779.0,TZA34779.0,0.0,0.0,0.0,0.0,19.71,12.79,13.72,9.99,9.77,-6.5,39.5
7997,35130.0,TZA35130.0,0.0,0.0,0.0,0.0,15.12,19.67,20.15,29.45,30.48,-7.5,30.5
7998,35131.0,TZA35131.0,49.92,51.37,51.49,11.18,5.62,5.35,9.15,5.91,5.91,-7.5,31.5
7999,35132.0,TZA35132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,2.01,-7.5,32.5
8000,35133.0,TZA35133.0,0.0,0.0,0.0,0.0,0.0,10.68,10.68,9.24,9.24,-7.5,33.5
8001,35134.0,TZA35134.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,-7.5,34.5
8002,35135.0,TZA35135.0,0.0,5.58,6.54,9.66,2.74,3.07,2.98,2.95,2.95,-7.5,35.5
8003,35136.0,TZA35136.0,22.62,28.91,29.38,27.69,3.05,5.31,14.52,5.27,7.78,-7.5,36.5
8004,35137.0,TZA35137.0,72.01,62.15,60.91,42.77,24.56,24.02,25.92,19.76,24.39,-7.5,37.5
8005,35138.0,TZA35138.0,0.11,6.98,9.05,14.66,23.05,11.51,11.51,7.27,7.43,-7.5,38.5
8006,35139.0,TZA35139.0,0.65,1.04,1.01,1.18,0.69,0.67,0.64,2.89,2.88,-7.5,39.5
8007,35490.0,TZA35490.0,0.0,0.0,0.0,0.0,100.0,90.27,87.64,77.55,88.06,-8.5,30.5
8008,35491.0,TZA35491.0,68.28,72.46,72.21,26.4,0.97,5.42,6.62,3.2,4.92,-8.5,31.5
8009,35492.0,TZA35492.0,0.0,9.03,7.47,32.09,5.14,3.61,8.81,3.18,3.23,-8.5,32.5
8010,35493.0,TZA35493.0,0.0,0.0,0.0,2.02,8.79,13.73,13.84,14.1,14.13,-8.5,33.5
8011,35494.0,TZA35494.0,0.48,0.22,0.22,0.0,0.44,1.6,1.59,1.7,1.69,-8.5,34.5
8012,35495.0,TZA35495.0,0.0,0.0,0.0,3.46,12.1,13.45,13.47,11.01,11.06,-8.5,35.5
8013,35496.0,TZA35496.0,100.0,68.02,61.17,53.89,41.48,29.72,30.31,21.14,21.29,-8.5,36.5
8014,35498.0,TZA35498.0,0.0,0.0,0.0,8.95,59.28,45.53,71.92,14.46,22.86,-8.5,38.5
8015,35499.0,TZA35499.0,6.36,12.35,13.13,23.7,20.48,12.01,25.45,7.49,19.22,-8.5,39.5
8016,35851.0,TZA35851.0,0.0,0.0,0.0,0.0,100.0,75.24,75.24,0.83,52.61,-9.5,31.5
8017,35855.0,TZA35855.0,0.0,0.0,0.0,0.0,0.0,1.54,2.38,1.02,1.11,-9.5,35.5
8018,35856.0,TZA35856.0,0.0,0.0,0.0,0.0,0.0,95.2,95.2,19.86,27.73,-9.5,36.5
8019,35857.0,TZA35857.0,100.0,100.0,100.0,95.35,25.9,30.6,45.44,5.86,27.2,-9.5,37.5
8020,35858.0,TZA35858.0,0.0,0.0,100.0,67.61,17.39,10.56,16.46,4.6,11.01,-9.5,38.5
8021,35859.0,TZA35859.0,0.0,100.0,100.0,0.04,5.29,11.43,16.78,7.37,12.37,-9.5,39.5
8022,36215.0,TZA36215.0,92.94,73.71,74.04,14.22,4.68,5.52,9.87,1.78,4.47,-10.5,35.5
8023,36216.0,TZA36216.0,0.0,0.0,100.0,97.01,55.11,5.44,55.0,2.98,3.5,-10.5,36.5
8024,36217.0,TZA36217.0,0.0,0.0,0.0,0.0,6.51,10.82,11.75,4.97,16.12,-10.5,37.5
8025,36218.0,TZA36218.0,0.0,0.0,0.0,0.07,0.91,2.19,2.45,0.42,1.99,-10.5,38.5
8026,32969.0,RWA32969.0,5.81,6.81,6.89,7.23,8.81,8.52,7.84,6.74,8.35,-1.5,29.5
8027,32970.0,RWA32970.0,9.34,4.57,4.14,2.17,1.01,0.53,0.63,0.21,0.33,-1.5,30.5
8028,33328.0,BDI33328.0,87.23,86.95,86.77,86.71,81.47,73.18,72.9,30.54,42.07,-2.5,28.5
8029,33329.0,BDI33329.0,16.03,13.67,13.14,8.61,5.22,4.2,3.9,1.46,2.23,-2.5,29.5
8030,33330.0,BDI33330.0,13.34,13.94,14.01,8.66,2.49,1.98,2.03,0.9,1.54,-2.5,30.5
8031,33689.0,BDI33689.0,29.31,24.38,23.48,15.35,9.93,7.52,6.91,3.53,4.85,-3.5,29.5
8032,33690.0,BDI33690.0,99.32,97.09,96.78,77.07,31.71,21.25,21.35,2.96,16.1,-3.5,30.5
8033,34049.0,BDI34049.0,100.0,99.4,98.75,78.89,43.25,24.71,21.38,10.35,17.22,-4.5,29.5
8034,34050.0,BDI34050.0,0.0,100.0,100.0,77.56,49.92,20.74,27.1,9.38,17.78,-4.5,30.5
8035,33441.0,PNG33441.0,0.0,82.99,82.99,82.99,82.99,92.95,97.38,98.71,98.59,-2.5,141.5
8036,33446.0,PNG33446.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.5,146.5
8037,33447.0,PNG33447.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.5,147.5
8038,33450.0,PNG33450.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.5,150.5
8039,33451.0,PNG33451.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.5,151.5
8040,33801.0,PNG33801.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-3.5,141.5
8041,33802.0,PNG33802.0,100.0,100.0,100.0,99.22,96.65,89.18,90.31,89.09,89.11,-3.5,142.5
8042,33803.0,PNG33803.0,95.8,91.2,91.2,91.41,91.17,82.08,86.3,82.07,82.05,-3.5,143.5
8043,33804.0,PNG33804.0,100.0,100.0,100.0,99.61,94.92,85.56,85.27,85.56,85.56,-3.5,144.5
8044,33811.0,PNG33811.0,0.0,100.0,100.0,100.0,100.0,98.52,100.0,98.52,98.52,-3.5,151.5
8045,33812.0,PNG33812.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-3.5,152.5
8046,34161.0,PNG34161.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,-4.5,141.5
8047,34162.0,PNG34162.0,100.0,99.73,99.88,99.88,99.88,98.56,99.81,98.52,98.5,-4.5,142.5
8048,34163.0,PNG34163.0,95.6,88.05,90.67,90.74,90.78,88.46,90.83,88.45,88.45,-4.5,143.5
8049,34164.0,PNG34164.0,97.52,96.02,92.58,83.74,80.92,76.62,78.96,76.53,76.48,-4.5,144.5
8050,34165.0,PNG34165.0,0.0,0.0,100.0,100.0,100.0,99.83,100.0,99.83,99.8,-4.5,145.5
8051,34171.0,PNG34171.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,-4.5,151.5
8052,34172.0,PNG34172.0,0.0,100.0,98.6,98.6,98.6,98.88,96.14,98.07,97.52,-4.5,152.5
8053,34173.0,PNG34173.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-4.5,153.5
8054,34521.0,PNG34521.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-5.5,141.5
8055,34522.0,PNG34522.0,100.0,99.46,91.52,91.82,92.46,94.72,95.61,94.72,94.71,-5.5,142.5
8056,34523.0,PNG34523.0,100.0,100.0,100.0,100.0,100.0,98.84,99.1,98.84,98.84,-5.5,143.5
8057,34524.0,PNG34524.0,100.0,100.0,99.42,98.44,97.16,84.92,89.0,84.72,84.6,-5.5,144.5
8058,34525.0,PNG34525.0,71.69,70.66,67.79,68.88,69.58,71.37,72.32,71.37,71.36,-5.5,145.5
8059,34526.0,PNG34526.0,100.0,100.0,97.6,97.66,97.78,94.55,97.03,95.41,95.41,-5.5,146.5
8060,34527.0,PNG34527.0,99.53,98.98,91.04,91.04,91.04,88.29,89.88,89.13,88.76,-5.5,147.5
8061,34528.0,PNG34528.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-5.5,148.5
8062,34529.0,PNG34529.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-5.5,149.5
8063,34530.0,PNG34530.0,0.0,100.0,100.0,100.0,100.0,100.0,99.93,100.0,99.88,-5.5,150.5
8064,34531.0,PNG34531.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-5.5,151.5
8065,34534.0,PNG34534.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-5.5,154.5
8066,34535.0,PNG34535.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-5.5,155.5
8067,34880.0,PNG34880.0,100.0,100.0,99.98,97.86,92.47,82.02,81.28,82.02,82.02,-6.5,140.5
8068,34881.0,PNG34881.0,100.0,100.0,99.93,99.93,99.93,99.5,99.94,99.5,99.5,-6.5,141.5
8069,34882.0,PNG34882.0,0.0,0.0,100.0,100.0,100.0,99.3,99.86,99.3,99.3,-6.5,142.5
8070,34883.0,PNG34883.0,100.0,100.0,100.0,100.0,100.0,96.16,98.45,96.14,96.14,-6.5,143.5
8071,34884.0,PNG34884.0,100.0,100.0,100.0,90.07,86.1,80.84,82.03,80.82,80.81,-6.5,144.5
8072,34885.0,PNG34885.0,92.76,94.05,93.43,93.57,93.5,92.54,93.5,92.47,92.73,-6.5,145.5
8073,34886.0,PNG34886.0,84.83,83.13,77.13,77.22,77.57,75.79,79.76,75.55,76.15,-6.5,146.5
8074,34887.0,PNG34887.0,99.02,95.64,79.98,79.97,80.13,87.02,86.64,87.01,86.89,-6.5,147.5
8075,35241.0,PNG35241.0,94.52,94.05,94.85,93.71,93.82,96.22,96.98,96.22,96.22,-7.5,141.5
8076,35242.0,PNG35242.0,100.0,100.0,100.0,99.36,99.4,96.24,97.47,96.24,96.24,-7.5,142.5
8077,35243.0,PNG35243.0,100.0,100.0,100.0,100.0,100.0,96.5,98.27,96.68,96.68,-7.5,143.5
8078,35244.0,PNG35244.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,-7.5,144.5
8079,35245.0,PNG35245.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-7.5,145.5
8080,35246.0,PNG35246.0,100.0,99.87,92.42,94.67,94.88,94.4,95.68,94.4,94.4,-7.5,146.5
8081,35247.0,PNG35247.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-7.5,147.5
8082,35601.0,PNG35601.0,100.0,100.0,100.0,100.0,100.0,99.8,99.97,99.8,99.8,-8.5,141.5
8083,35602.0,PNG35602.0,100.0,100.0,100.0,98.92,96.1,91.57,92.59,91.68,91.68,-8.5,142.5
8084,35603.0,PNG35603.0,100.0,100.0,100.0,76.35,73.53,70.77,71.93,71.03,71.03,-8.5,143.5
8085,35606.0,PNG35606.0,99.72,99.12,99.12,98.64,98.94,90.45,94.71,90.68,90.67,-8.5,146.5
8086,35607.0,PNG35607.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-8.5,147.5
8087,35608.0,PNG35608.0,96.53,94.98,94.98,93.9,94.04,97.25,97.06,97.09,96.96,-8.5,148.5
8088,35611.0,PNG35611.0,0.0,0.0,0.0,100.0,97.96,48.73,54.67,51.39,51.39,-8.5,151.5
8089,35961.0,PNG35961.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,-9.5,141.5
8090,35962.0,PNG35962.0,100.0,100.0,100.0,100.0,100.0,99.96,100.0,99.96,99.96,-9.5,142.5
8091,35963.0,PNG35963.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,-9.5,143.5
8092,35966.0,PNG35966.0,91.88,90.8,90.8,82.7,82.7,83.72,84.25,84.31,84.3,-9.5,146.5
8093,35967.0,PNG35967.0,100.0,100.0,100.0,98.62,98.9,88.39,93.28,88.16,87.88,-9.5,147.5
8094,35968.0,PNG35968.0,100.0,100.0,100.0,99.12,99.14,97.81,99.07,97.81,97.81,-9.5,148.5
8095,35969.0,PNG35969.0,94.35,92.83,92.83,86.73,86.8,89.44,89.32,89.44,89.39,-9.5,149.5
8096,35970.0,PNG35970.0,100.0,100.0,100.0,97.07,95.56,89.59,95.56,89.0,88.57,-9.5,150.5
8097,35971.0,PNG35971.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,-9.5,151.5
8098,35972.0,PNG35972.0,0.0,0.0,0.0,33.12,33.12,33.12,27.53,32.67,29.44,-9.5,152.5
